dose,cell,C
262,1,1,1
263,1,1,1
264,1,1,1
265,1,1,1
266,1,1,1
267,1,1,1
268,1,1,1
269,1,1,1
270,1,1,1
271,1,1,1
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,1,1,1
277,1,1,1
278,1,1,1
279,1,1,1
280,1,1,1
281,1,1,1
282,1,1,1
283,1,1,1
284,1,1,1
285,1,1,1
286,1,1,1
287,1,1,1
288,1,1,1
289,1,1,1
290,1,1,1
291,1,1,1
292,1,1,1
293,1,1,1
294,1,1,1
295,1,1,1
296,1,1,1
297,1,1,1
298,1,1,1
299,1,1,1
300,1,1,1
301,1,1,1
302,1,1,1
303,1,1,1
304,1,1,1
305,1,1,1
306,1,1,1
307,1,1,1
308,1,1,1
309,1,1,1
310,1,1,1
311,1,1,1
312,1,1,1
313,1,1,1
314,1,1,1
315,1,1,1
316,1,1,1
317,1,1,1
318,1,1,1
319,1,1,1
320,1,1,1
321,1,1,1
322,1,1,1
323,1,1,1
324,1,1,1
325,1,1,1
326,1,1,1
327,1,1,1
328,1,1,1
329,1,1,1
330,1,1,1
331,1,1,1
332,1,1,1
333,1,1,1
334,1,1,1
335,1,1,1
336,1,1,1
337,1,1,1
338,1,1,1
339,1,1,1
340,1,1,1
341,1,1,1
342,1,1,1
343,1,1,1
344,1,1,1
345,1,1,1
346,1,1,1
347,1,1,1
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,1,1,1
355,1,1,1
356,1,1,1
357,1,1,1
358,1,1,1
359,1,1,1
360,1,1,1
361,1,1,1
362,1,1,1
363,1,1,1
364,1,1,1
365,1,1,1
366,1,1,1
367,1,1,1
368,1,1,1
369,1,1,1
370,1,1,1
371,1,1,1
372,1,1,1
373,1,1,1
374,1,1,1
375,1,1,1
376,1,1,1
377,1,1,1
378,1,1,1
379,1,1,1
380,1,1,1
381,1,1,1
382,1,1,1
383,1,1,1
384,1,1,1
385,1,1,1
386,1,1,1
387,1,1,1
388,1,1,1
389,1,1,1
390,1,1,1
391,1,1,1
392,1,1,1
393,1,1,1
394,1,1,1
395,1,1,1
396,1,1,1
397,1,1,1
398,1,1,1
399,1,1,1
400,1,1,1
401,1,1,1
402,1,1,1
403,1,1,1
404,1,1,1
405,1,1,1
406,1,1,1
407,1,1,1
408,1,1,1
409,1,1,1
410,1,1,1
411,1,1,1
412,1,1,1
413,1,1,1
414,1,1,1
415,1,1,1
416,1,1,1
417,1,1,1
418,1,1,1
419,1,1,1
420,1,1,1
421,1,1,1
422,1,1,1
423,1,1,1
424,1,1,1
425,1,1,1
426,1,1,1
427,1,1,1
428,1,1,1
429,1,1,1
430,1,1,1
431,1,1,1
432,1,1,1
433,1,1,1
434,1,1,1
435,1,1,1
436,1,1,1
437,1,1,1
438,1,1,1
439,1,1,1
440,1,1,1
441,1,1,1
442,1,1,1
443,1,1,1
444,1,1,1
445,1,1,1
446,1,1,1
447,1,1,1
448,1,1,1
449,1,1,1
450,1,1,1
451,1,1,1
452,1,1,1
453,1,1,1
454,1,1,1
455,1,1,1
456,1,1,1
457,1,1,1
458,1,1,1
459,1,1,1
460,1,1,1
461,1,1,1
462,1,1,1
463,1,1,1
464,1,1,1
465,1,1,1
466,1,1,1
467,1,1,1
468,1,1,1
469,1,1,1
470,1,1,1
471,1,1,1
472,1,1,1
473,1,1,1
474,1,1,1
475,1,1,1
476,1,1,1
477,1,1,1
478,1,1,1
479,1,1,1
480,1,1,1
481,1,1,1
482,1,1,1
483,1,1,1
484,1,1,1
485,1,1,1
486,1,1,1
487,1,1,1
488,1,1,1
489,1,1,1
490,1,1,1
491,1,1,1
492,1,1,1
493,1,1,1
494,1,1,1
495,1,1,1
496,1,1,1
497,1,1,1
498,1,1,1
499,1,1,1
500,1,1,1
501,1,1,1
502,1,1,1
503,1,1,1
504,1,1,1
505,1,1,1
506,1,1,1
507,1,1,1
508,1,1,1
509,1,1,1
510,1,1,1
511,1,1,1
512,1,1,1
513,1,1,1
514,1,1,1
515,1,1,1
516,1,1,1
517,1,1,1
518,1,1,1
519,1,1,1
520,1,1,1
521,1,1,1
522,1,1,1
523,1,1,1
524,1,1,1
525,1,1,1
526,1,1,1
527,1,1,1
528,1,1,1
529,1,1,1
530,1,1,1
531,1,1,1
532,1,1,1
533,1,1,1
534,1,1,1
535,1,1,1
536,1,1,1
537,1,1,1
538,1,1,1
539,1,1,1
540,1,1,1
541,1,1,1
542,1,1,1
543,1,1,1
544,1,1,1
545,1,1,1
546,1,1,1
547,1,1,1
548,1,1,1
549,1,1,1
550,1,1,1
551,1,1,1
552,1,1,1
553,1,1,1
554,1,1,1
555,1,1,1
556,1,1,1
557,1,1,1
558,1,1,1
559,1,1,1
560,1,1,1
561,1,1,1
562,1,1,1
563,1,1,1
564,1,1,1
565,1,1,1
566,1,1,1
567,1,1,1
568,1,1,1
569,1,1,1
570,1,1,1
571,1,1,1
572,1,1,1
573,1,1,1
574,1,1,1
575,1,1,1
576,1,1,1
577,1,1,1
578,1,1,1
579,1,1,1
580,1,1,1
581,1,1,1
582,1,1,1
583,1,1,1
584,1,1,1
585,1,1,1
586,1,1,1
587,1,1,1
588,1,1,1
589,1,1,1
590,1,1,1
591,1,1,1
592,1,1,1
593,1,1,1
594,1,1,1
595,1,1,1
596,1,1,1
597,1,1,1
598,1,1,1
599,1,1,1
600,1,1,1
601,1,1,1
602,1,1,1
603,1,1,1
604,1,1,1
605,1,1,1
606,1,1,1
607,1,1,1
608,1,1,1
609,1,1,1
610,1,1,1
611,1,1,1
612,1,1,1
613,1,1,1
614,1,1,1
615,1,1,1
616,1,1,1
617,1,1,1
618,1,1,1
619,1,1,1
620,1,1,1
621,1,1,1
622,1,1,1
623,1,1,1
624,1,1,1
625,1,1,1
626,1,1,1
627,1,1,1
628,1,1,1
629,1,1,1
630,1,1,1
631,1,1,1
632,1,1,1
633,1,1,1
634,1,1,1
635,1,1,1
636,1,1,1
637,1,1,1
638,1,1,1
639,1,1,1
640,1,1,1
641,1,1,1
642,1,1,1
643,1,1,1
644,1,1,1
645,1,1,1
646,1,1,1
647,1,1,1
648,1,1,1
649,1,1,1
650,1,1,1
651,1,1,1
652,1,1,1
653,1,1,1
654,1,1,1
655,1,1,1
656,1,1,1
657,1,1,1
658,1,1,1
659,1,1,1
660,1,1,1
661,1,1,1
662,1,1,1
663,1,1,1
664,1,1,1
665,1,1,1
666,1,1,1
667,1,1,1
668,1,1,1
669,1,1,1
670,1,1,1
671,1,1,1
672,1,1,1
673,1,1,1
674,1,1,1
675,1,1,1
676,1,1,1
677,1,1,1
678,1,1,1
679,1,1,1
680,1,1,1
681,1,1,1
682,1,1,1
683,1,1,1
684,1,1,1
685,1,1,1
686,1,1,1
687,1,1,1
688,1,1,1
689,1,1,1
690,1,1,1
691,1,1,1
692,1,1,1
693,1,1,1
694,1,1,1
695,1,1,1
696,1,1,1
697,1,1,1
698,1,1,1
699,1,1,1
700,1,1,1
701,1,1,1
702,1,1,1
703,1,1,1
704,1,1,1
705,1,1,1
706,1,1,1
707,1,1,1
708,1,1,1
709,1,1,1
710,1,1,1
711,1,1,1
712,1,1,1
713,1,1,1
714,1,1,1
715,1,1,1
716,1,1,1
717,1,1,1
718,1,1,1
719,1,1,1
720,1,1,1
721,1,1,1
722,1,1,1
723,1,1,1
724,1,1,1
725,1,1,1
726,1,1,1
727,1,1,1
728,1,1,1
729,1,1,1
730,1,1,1
731,1,1,1
732,1,1,1
733,1,1,1
734,1,1,1
735,1,1,1
736,1,1,1
737,1,1,1
738,1,1,1
739,1,1,1
740,1,1,1
741,1,1,1
742,1,1,1
743,1,1,1
744,1,1,1
745,1,1,1
746,1,1,1
747,1,1,1
748,1,1,1
749,1,1,1
750,1,1,1
751,1,1,1
752,1,1,1
753,1,1,1
754,1,1,1
755,1,1,1
756,1,1,1
757,1,1,1
758,1,1,1
759,1,1,1
760,1,1,1
761,1,1,1
762,1,1,1
763,1,1,1
764,1,1,1
765,1,1,1
766,1,1,1
767,1,1,1
768,1,1,1
769,1,1,1
770,1,1,1
771,1,1,1
772,1,1,1
773,1,1,1
774,1,1,1
775,1,1,1
776,1,1,1
777,1,1,1
778,1,1,1
779,1,1,1
780,1,1,1
781,1,1,1
782,1,1,1
783,1,1,1
784,1,1,1
785,1,1,1
786,1,1,1
787,1,1,1
788,1,1,1
789,1,1,1
790,1,1,1
791,1,1,1
792,1,1,1
793,1,1,1
794,1,1,1
795,1,1,1
796,1,1,1
797,1,1,1
798,1,1,1
799,1,1,1
800,1,1,1
801,1,1,1
802,1,1,1
803,1,1,1
804,1,1,1
805,1,1,1
806,1,1,1
807,1,1,1
808,1,1,1
809,1,1,1
810,1,1,1
811,1,1,1
812,1,1,1
813,1,1,1
814,1,1,1
815,1,1,1
816,1,1,1
817,1,1,1
818,1,1,1
819,1,1,1
820,1,1,1
821,1,1,1
822,1,1,1
823,1,1,1
824,1,1,1
825,1,1,1
826,1,1,1
827,1,1,1
828,1,1,1
829,1,1,1
830,1,1,1
831,1,1,1
832,1,1,1
833,1,1,1
834,1,1,1
835,1,1,1
836,1,1,1
837,1,1,1
838,1,1,1
839,1,1,1
840,1,1,1
841,1,1,1
842,1,1,1
843,1,1,1
844,1,1,1
845,1,1,1
846,1,1,1
847,1,1,1
848,1,1,1
849,1,1,1
850,1,1,1
851,1,1,1
852,1,1,1
853,1,1,1
854,1,1,1
855,1,1,1
856,1,1,1
857,1,1,1
858,1,1,1
859,1,1,1
860,1,1,1
861,1,1,1
862,1,1,1
863,1,1,1
864,1,1,1
865,1,1,1
866,1,1,1
867,1,1,1
868,1,1,1
869,1,1,1
870,1,1,1
871,1,1,1
872,1,1,1
873,1,1,1
874,1,1,1
875,1,1,1
876,1,1,1
877,1,1,1
878,1,1,1
879,1,1,1
880,1,1,1
881,1,1,1
882,1,1,1
883,1,1,1
884,1,1,1
885,1,1,1
886,1,1,1
887,1,1,1
888,1,1,1
889,1,1,1
890,1,1,1
891,1,1,1
892,1,1,1
893,1,1,1
894,1,1,1
895,1,1,1
896,1,1,1
897,1,1,1
898,1,1,1
899,1,1,1
900,1,1,1
901,1,1,1
902,1,1,1
903,1,1,1
904,1,1,1
905,1,1,1
906,1,1,1
907,1,1,1
908,1,1,1
909,1,1,1
910,1,1,1
911,1,1,1
912,1,1,1
913,1,1,1
914,1,1,1
915,1,1,1
916,1,1,1
917,1,1,1
918,1,1,1
919,1,1,1
920,1,1,1
921,1,1,1
922,1,1,1
923,1,1,1
924,1,1,1
925,1,1,1
926,1,1,1
927,1,1,1
928,1,1,1
929,1,1,1
930,1,1,1
931,1,1,1
932,1,1,1
933,1,1,1
934,1,1,1
935,1,1,1
936,1,1,1
937,1,1,1
938,1,1,1
939,1,1,1
940,1,1,1
941,1,1,1
942,1,1,1
943,1,1,1
944,1,1,1
945,1,1,1
946,1,1,1
947,1,1,1
948,1,1,1
949,1,1,1
950,1,1,1
951,1,1,1
952,1,1,1
953,1,1,1
954,1,1,1
955,1,1,1
956,1,1,1
957,1,1,1
958,1,1,1
959,1,1,1
960,1,1,1
961,1,1,1
962,1,1,1
963,1,1,1
964,1,1,1
965,1,1,1
966,1,1,1
967,1,1,1
968,1,1,1
969,1,1,1
970,1,1,1
971,1,1,1
972,1,1,1
973,1,1,1
974,1,1,1
975,1,1,1
976,1,1,1
977,1,1,1
978,1,1,1
979,1,1,1
980,1,1,1
981,1,1,1
982,1,1,1
983,1,1,1
984,1,1,1
985,1,1,1
986,1,1,1
987,1,1,1
988,1,1,1
989,1,1,1
990,1,1,1
991,1,1,1
992,1,1,1
993,1,1,1
994,1,1,1
995,1,1,1
996,1,1,1
997,1,1,1
998,1,1,1
999,1,1,1
1000,1,1,1
1001,1,1,1
1002,1,1,1
1003,1,1,1
1004,1,1,1
1005,1,1,1
1006,1,1,1
1007,1,1,1
1008,1,1,1
1009,1,1,1
1010,1,1,1
1011,1,1,1
1012,1,1,1
1013,1,1,1
1014,1,1,1
1015,1,1,1
1016,1,1,1
1017,1,1,1
1018,1,1,1
1019,1,1,1
1020,1,1,1
1021,1,1,1
1022,1,1,1
1023,1,1,1
1024,1,1,1
1025,1,1,1
1026,1,1,1
1027,1,1,1
1028,1,1,1
1029,1,1,1
1030,1,1,1
1031,1,1,1
1032,2,2,2
1033,2,2,2
1034,2,2,2
1035,2,2,2
1036,2,2,2
1037,2,2,2
1038,2,2,2
1039,2,2,2
1040,2,2,2
1041,2,2,2
1042,2,2,2
1043,2,2,2
1044,2,2,2
1045,2,2,2
1046,2,2,2
1047,2,2,2
1048,2,2,2
1049,2,2,2
1050,2,2,2
1051,2,2,2
1052,2,2,2
1053,2,2,2
1054,2,2,2
1055,2,2,2
1056,2,2,2
1057,2,2,2
1058,2,2,2
1059,2,2,2
1060,2,2,2
1061,2,2,2
1062,2,2,2
1063,2,2,2
1064,2,2,2
1065,2,2,2
1066,2,2,2
1067,2,2,2
1068,2,2,2
1069,2,2,2
1070,2,2,2
1071,2,2,2
1072,2,2,2
1073,2,2,2
1074,2,2,2
1075,2,2,2
1076,2,2,2
1077,2,2,2
1078,2,2,2
1079,2,2,2
1080,2,2,2
1081,2,2,2
1082,2,2,2
1083,2,2,2
1084,2,2,2
1085,2,2,2
1086,2,2,2
1087,2,2,2
1088,2,2,2
1089,2,2,2
1090,2,2,2
1091,2,2,2
1092,2,2,2
1093,2,2,2
1094,2,2,2
1095,2,2,2
1096,2,2,2
1097,2,2,2
1098,2,2,2
1099,2,2,2
1100,2,2,2
1101,2,2,2
1102,2,2,2
1103,2,2,2
1104,2,2,2
1105,2,2,2
1106,2,2,2
1107,2,2,2
1108,2,2,2
1109,2,2,2
1110,2,2,2
1111,2,2,2
1112,2,2,2
1113,2,2,2
1114,2,2,2
1115,2,2,2
1116,2,2,2
1117,2,2,2
1118,2,2,2
1119,2,2,2
1120,2,2,2
1121,2,2,2
1122,2,2,2
1123,2,2,2
1124,2,2,2
1125,2,2,2
1126,2,2,2
1127,2,2,2
1128,2,2,2
1129,2,2,2
1130,2,2,2
1131,2,2,2
1132,2,2,2
1133,2,2,2
1134,2,2,2
1135,2,2,2
1136,2,2,2
1137,2,2,2
1138,2,2,2
1139,2,2,2
1140,2,2,2
1141,2,2,2
1142,2,2,2
1143,2,2,2
1144,2,2,2
1145,2,2,2
1146,2,2,2
1147,2,2,2
1148,2,2,2
1149,2,2,2
1150,2,2,2
1151,2,2,2
1152,2,2,2
1153,2,2,2
1154,2,2,2
1155,2,2,2
1156,2,2,2
1157,2,2,2
1158,2,2,2
1159,2,2,2
1160,2,2,2
1161,2,2,2
1162,2,2,2
1163,2,2,2
1164,2,2,2
1165,2,2,2
1166,2,2,2
1167,2,2,2
1168,2,2,2
1169,2,2,2
1170,2,2,2
1171,2,2,2
1172,2,2,2
1173,2,2,2
1174,2,2,2
1175,2,2,2
1176,2,2,2
1177,2,2,2
1178,2,2,2
1179,2,2,2
1180,2,2,2
1181,2,2,2
1182,2,2,2
1183,2,2,2
1184,2,2,2
1185,2,2,2
1186,2,2,2
1187,2,2,2
1188,2,2,2
1189,2,2,2
1190,2,2,2
1191,2,2,2
1192,2,2,2
1193,2,2,2
1194,2,2,2
1195,2,2,2
1196,2,2,2
1197,2,2,2
1198,2,2,2
1199,2,2,2
1200,2,2,2
1201,2,2,2
1202,2,2,2
1203,2,2,2
1204,2,2,2
1205,2,2,2
1206,2,2,2
1207,2,2,2
1208,2,2,2
1209,2,2,2
1210,2,2,2
1211,2,2,2
1212,2,2,2
1213,2,2,2
1214,2,2,2
1215,2,2,2
1216,2,2,2
1217,2,2,2
1218,2,2,2
1219,2,2,2
1220,2,2,2
1221,2,2,2
1222,2,2,2
1223,2,2,2
1224,2,2,2
1225,2,2,2
1226,2,2,2
1227,2,2,2
1228,2,2,2
1229,2,2,2
1230,2,2,2
1231,2,2,2
1232,2,2,2
1233,2,2,2
1234,2,2,2
1235,2,2,2
1236,2,2,2
1237,2,2,2
1238,2,2,2
1239,2,2,2
1240,2,2,2
1241,2,2,2
1242,2,2,2
1243,2,2,2
1244,2,2,2
1245,2,2,2
1246,2,2,2
1247,2,2,2
1248,2,2,2
1249,2,2,2
1250,2,2,2
1251,2,2,2
1252,2,2,2
1253,2,2,2
1254,2,2,2
1255,2,2,2
1256,2,2,2
1257,2,2,2
1258,2,2,2
1259,2,2,2
1260,2,2,2
1261,2,2,2
1262,2,2,2
1263,2,2,2
1264,2,2,2
1265,2,2,2
1266,2,2,2
1267,2,2,2
1268,2,2,2
1269,2,2,2
1270,2,2,2
1271,2,2,2
1272,2,2,2
1273,2,2,2
1274,2,2,2
1275,2,2,2
1276,2,2,2
1277,2,2,2
1278,2,2,2
1279,2,2,2
1280,2,2,2
1281,2,2,2
1282,2,2,2
1283,2,2,2
1284,2,2,2
1285,2,2,2
1286,2,2,2
1287,2,2,2
1288,2,2,2
1289,2,2,2
1290,2,2,2
1291,2,2,2
1292,2,2,2
1293,2,2,2
1294,2,2,2
1295,2,2,2
1296,2,2,2
1297,2,2,2
1298,2,2,2
1299,2,2,2
1300,2,2,2
1301,2,2,2
1302,2,2,2
1303,2,2,2
1304,2,2,2
1305,2,2,2
1306,2,2,2
1307,2,2,2
1308,2,2,2
1309,2,2,2
1310,2,2,2
1311,2,2,2
1312,2,2,2
1313,2,2,2
1314,2,2,2
1315,2,2,2
1316,2,2,2
1317,2,2,2
1318,2,2,2
1319,2,2,2
1320,2,2,2
1321,2,2,2
1322,2,2,2
1323,2,2,2
1324,2,2,2
1325,2,2,2
1326,2,2,2
1327,2,2,2
1328,2,2,2
1329,2,2,2
1330,2,2,2
1331,2,2,2
1332,2,2,2
1333,2,2,2
1334,2,2,2
1335,2,2,2
1336,2,2,2
1337,2,2,2
1338,2,2,2
1339,2,2,2
1340,2,2,2
1341,2,2,2
1342,2,2,2
1343,2,2,2
1344,2,2,2
1345,2,2,2
1346,2,2,2
1347,2,2,2
1348,2,2,2
1349,2,2,2
1350,2,2,2
1351,2,2,2
1352,2,2,2
1353,2,2,2
1354,2,2,2
1355,2,2,2
1356,2,2,2
1357,2,2,2
1358,2,2,2
1359,2,2,2
1360,2,2,2
1361,2,2,2
1362,2,2,2
1363,2,2,2
1364,2,2,2
1365,2,2,2
1366,2,2,2
1367,2,2,2
1368,2,2,2
1369,2,2,2
1370,2,2,2
1371,2,2,2
1372,2,2,2
1373,2,2,2
1374,2,2,2
1375,2,2,2
1376,2,2,2
1377,2,2,2
1378,2,2,2
1379,2,2,2
1380,2,2,2
1381,2,2,2
1382,2,2,2
1383,2,2,2
1384,2,2,2
1385,2,2,2
1386,2,2,2
1387,2,2,2
1388,2,2,2
1389,2,2,2
1390,2,2,2
1391,2,2,2
1392,2,2,2
1393,2,2,2
1394,2,2,2
1395,2,2,2
1396,2,2,2
1397,2,2,2
1398,2,2,2
1399,2,2,2
1400,2,2,2
1401,2,2,2
1402,2,2,2
1403,2,2,2
1404,2,2,2
1405,2,2,2
1406,2,2,2
1407,2,2,2
1408,2,2,2
1409,2,2,2
1410,2,2,2
1411,2,2,2
1412,2,2,2
1413,2,2,2
1414,2,2,2
1415,2,2,2
1416,2,2,2
1417,2,2,2
1418,2,2,2
1419,2,2,2
1420,2,2,2
1421,2,2,2
1422,2,2,2
1423,2,2,2
1424,2,2,2
1425,2,2,2
1426,2,2,2
1427,2,2,2
1428,2,2,2
1429,2,2,2
1430,2,2,2
1431,2,2,2
1432,2,2,2
1433,2,2,2
1434,2,2,2
1435,2,2,2
1436,2,2,2
1437,2,2,2
1438,2,2,2
1439,2,2,2
1440,2,2,2
1441,2,2,2
1442,2,2,2
1443,2,2,2
1444,2,2,2
1445,2,2,2
1446,2,2,2
1447,2,2,2
1448,2,2,2
1449,2,2,2
1450,2,2,2
1451,2,2,2
1452,2,2,2
1453,2,2,2
1454,2,2,2
1455,2,2,2
1456,2,2,2
1457,2,2,2
1458,2,2,2
1459,2,2,2
1460,2,2,2
1461,2,2,2
1462,2,2,2
1463,2,2,2
1464,2,2,2
1465,2,2,2
1466,2,2,2
1467,2,2,2
1468,2,2,2
1469,2,2,2
1470,2,2,2
1471,2,2,2
1472,2,2,2
1473,2,2,2
1474,2,2,2
1475,2,2,2
1476,2,2,2
1477,2,2,2
1478,2,2,2
1479,2,2,2
1480,2,2,2
1481,2,2,2
1482,2,2,2
1483,2,2,2
1484,2,2,2
1485,2,2,2
1486,2,2,2
1487,2,2,2
1488,2,2,2
1489,2,2,2
1490,2,2,2
1491,2,2,2
1492,2,2,2
1493,2,2,2
1494,2,2,2
1495,2,2,2
1496,2,2,2
1497,2,2,2
1498,2,2,2
1499,2,2,2
1500,2,2,2
1501,2,2,2
1502,2,2,2
1503,2,2,2
1504,2,2,2
1505,2,2,2
1506,2,2,2
1507,2,2,2
1508,2,2,2
1509,2,2,2
1510,2,2,2
1511,2,2,2
1512,2,2,2
1513,2,2,2
1514,2,2,2
1515,2,2,2
1516,2,2,2
1517,2,2,2
1518,2,2,2
1519,2,2,2
1520,2,2,2
1521,2,2,2
1522,2,2,2
1523,2,2,2
1524,2,2,2
1525,2,2,2
1526,2,2,2
1527,2,2,2
1528,2,2,2
1529,2,2,2
1530,2,2,2
1531,2,2,2
1532,2,2,2
1533,2,2,2
1534,2,2,2
1535,2,2,2
1536,2,2,2
1537,2,2,2
1538,2,2,2
1539,2,2,2
1540,2,2,2
1541,2,2,2
1542,2,2,2
1543,2,2,2
1544,2,2,2
1545,2,2,2
1546,2,2,2
1547,2,2,2
1548,2,2,2
1549,2,2,2
1550,2,2,2
1551,2,2,2
1552,2,2,2
1553,2,2,2
1554,2,2,2
1555,2,2,2
1556,2,2,2
1557,2,2,2
1558,2,2,2
1559,2,2,2
1560,2,2,2
1561,2,2,2
1562,2,2,2
1563,2,2,2
1564,2,2,2
1565,2,2,2
1566,2,2,2
1567,2,2,2
1568,2,2,2
1569,2,2,2
1570,2,2,2
1571,2,2,2
1572,2,2,2
1573,2,2,2
1574,2,2,2
1575,2,2,2
1576,2,2,2
1577,2,2,2
1578,2,2,2
1579,2,2,2
1580,2,2,2
1581,2,2,2
1582,2,2,2
1583,2,2,2
1584,2,2,2
1585,2,2,2
1586,2,2,2
1587,2,2,2
1588,2,2,2
1589,2,2,2
1590,2,2,2
1591,2,2,2
1592,2,2,2
1593,2,2,2
1594,2,2,2
1595,2,2,2
1596,2,2,2
1597,2,2,2
1598,2,2,2
1599,2,2,2
1600,2,2,2
1601,2,2,2
1602,2,2,2
1603,2,2,2
1604,2,2,2
1605,2,2,2
1606,2,2,2
1607,2,2,2
1608,2,2,2
1609,2,2,2
1610,2,2,2
1611,2,2,2
1612,2,2,2
1613,2,2,2
1614,2,2,2
1615,2,2,2
1616,2,2,2
1617,2,2,2
1618,2,2,2
1619,2,2,2
1620,2,2,2
1621,2,2,2
1622,2,2,2
1623,2,2,2
1624,2,2,2
1625,2,2,2
1626,2,2,2
1627,2,2,2
1628,2,2,2
1629,2,2,2
1630,2,2,2
1631,2,2,2
1632,2,2,2
1633,2,2,2
1634,2,2,2
1635,2,2,2
1636,2,2,2
1637,2,2,2
1638,2,2,2
1639,2,2,2
1640,2,2,2
1641,2,2,2
1642,2,2,2
1643,2,2,2
1644,2,2,2
1645,2,2,2
1646,2,2,2
1647,2,2,2
1648,2,2,2
1649,2,2,2
1650,2,2,2
1651,2,2,2
1652,2,2,2
1653,2,2,2
1654,2,2,2
1655,2,2,2
1656,2,2,2
1657,2,2,2
1658,2,2,2
1659,2,2,2
1660,2,2,2
1661,2,2,2
1662,2,2,2
1663,2,2,2
1664,2,2,2
